iter	Passed	Remaining
951	36302	1830
952	36346	1792
953	36385	1754
954	36427	1716
955	36472	1678
956	36516	1640
957	36561	1602
958	36605	1564
959	36651	1527
960	36694	1489
961	36736	1451
962	36785	1413
963	36828	1375
964	36870	1337
965	36909	1299
966	36947	1260
967	36986	1222
968	37024	1184
969	37062	1146
970	37100	1108
971	37142	1069
972	37189	1031
973	37251	994
974	37292	956
975	37332	918
976	37372	879
977	37412	841
978	37452	803
979	37492	765
980	37533	726
981	37573	688
982	37614	650
983	37654	612
984	37694	574
985	37734	535
986	37773	497
987	37813	459
988	37853	421
989	37894	382
990	37938	344
991	37976	306
992	38020	268
993	38062	229
994	38102	191
995	38143	153
996	38184	114
997	38223	76
998	38263	38
999	38303	0
